frame,total_detections,per_class
145,2,"{'tie': 1, 'person': 1}"
146,2,"{'tie': 1, 'person': 1}"
147,2,"{'tie': 1, 'person': 1}"
148,2,"{'tie': 1, 'person': 1}"
149,2,"{'tie': 1, 'person': 1}"
150,2,"{'tie': 1, 'person': 1}"
151,2,"{'tie': 1, 'person': 1}"
152,2,"{'tie': 1, 'person': 1}"
153,2,"{'tie': 1, 'person': 1}"
154,2,"{'tie': 1, 'person': 1}"
155,2,"{'tie': 1, 'person': 1}"
156,2,"{'tie': 1, 'person': 1}"
157,2,"{'tie': 1, 'person': 1}"
158,2,"{'tie': 1, 'person': 1}"
159,2,"{'tie': 1, 'person': 1}"
160,2,"{'tie': 1, 'person': 1}"
161,2,"{'tie': 1, 'person': 1}"
162,2,"{'tie': 1, 'person': 1}"
163,2,"{'tie': 1, 'person': 1}"
164,2,"{'tie': 1, 'person': 1}"
165,3,"{'tie': 1, 'person': 1, 'bed': 1}"
166,2,"{'tie': 1, 'person': 1}"
167,2,"{'tie': 1, 'person': 1}"
168,2,"{'tie': 1, 'person': 1}"
169,2,"{'tie': 1, 'person': 1}"
170,2,"{'tie': 1, 'person': 1}"
171,2,"{'tie': 1, 'person': 1}"
172,2,"{'tie': 1, 'person': 1}"
173,2,"{'person': 1, 'tie': 1}"
174,2,"{'person': 1, 'tie': 1}"
175,2,"{'tie': 1, 'person': 1}"
176,2,"{'person': 1, 'tie': 1}"
177,2,"{'tie': 1, 'person': 1}"
178,2,"{'tie': 1, 'person': 1}"
179,2,"{'person': 1, 'tie': 1}"
180,2,"{'tie': 1, 'person': 1}"
181,2,"{'tie': 1, 'person': 1}"
182,2,"{'tie': 1, 'person': 1}"
183,2,"{'tie': 1, 'person': 1}"
184,2,"{'tie': 1, 'person': 1}"
185,2,"{'tie': 1, 'person': 1}"
186,2,"{'tie': 1, 'person': 1}"
187,2,"{'tie': 1, 'person': 1}"
188,2,"{'tie': 1, 'person': 1}"
189,2,"{'tie': 1, 'person': 1}"
190,2,"{'tie': 1, 'person': 1}"
191,2,"{'tie': 1, 'person': 1}"
192,2,"{'tie': 1, 'person': 1}"
193,2,"{'tie': 1, 'person': 1}"
194,2,"{'tie': 1, 'person': 1}"
195,2,"{'tie': 1, 'person': 1}"
196,2,"{'tie': 1, 'person': 1}"
197,2,"{'tie': 1, 'person': 1}"
198,2,"{'tie': 1, 'person': 1}"
199,2,"{'tie': 1, 'person': 1}"
200,2,"{'tie': 1, 'person': 1}"
201,2,"{'person': 1, 'tie': 1}"
202,2,"{'tie': 1, 'person': 1}"
203,2,"{'tie': 1, 'person': 1}"
204,2,"{'person': 1, 'tie': 1}"
205,2,"{'tie': 1, 'person': 1}"
206,2,"{'tie': 1, 'person': 1}"
207,2,"{'tie': 1, 'person': 1}"
208,2,"{'tie': 1, 'person': 1}"
209,2,"{'tie': 1, 'person': 1}"
210,2,"{'person': 1, 'tie': 1}"
211,2,"{'tie': 1, 'person': 1}"
212,2,"{'person': 1, 'tie': 1}"
213,2,"{'person': 1, 'tie': 1}"
214,2,"{'tie': 1, 'person': 1}"
215,2,"{'tie': 1, 'person': 1}"
216,2,"{'tie': 1, 'person': 1}"
217,2,"{'tie': 1, 'person': 1}"
218,2,"{'tie': 1, 'person': 1}"
219,2,"{'tie': 1, 'person': 1}"
220,2,"{'tie': 1, 'person': 1}"
221,2,"{'tie': 1, 'person': 1}"
222,2,"{'tie': 1, 'person': 1}"
223,2,"{'tie': 1, 'person': 1}"
224,2,"{'tie': 1, 'person': 1}"
225,2,"{'tie': 1, 'person': 1}"
226,2,"{'tie': 1, 'person': 1}"
227,2,"{'tie': 1, 'person': 1}"
228,2,"{'tie': 1, 'person': 1}"
229,2,"{'tie': 1, 'person': 1}"
230,2,"{'tie': 1, 'person': 1}"
231,2,"{'tie': 1, 'person': 1}"
232,2,"{'tie': 1, 'person': 1}"
233,2,"{'tie': 1, 'person': 1}"
234,2,"{'tie': 1, 'person': 1}"
235,2,"{'tie': 1, 'person': 1}"
236,2,"{'person': 1, 'tie': 1}"
237,2,"{'person': 1, 'tie': 1}"
238,2,"{'tie': 1, 'person': 1}"
239,2,"{'person': 1, 'tie': 1}"
240,2,"{'person': 1, 'tie': 1}"
241,2,"{'person': 1, 'tie': 1}"
242,2,"{'person': 1, 'tie': 1}"
243,2,"{'person': 1, 'tie': 1}"
244,2,"{'tie': 1, 'person': 1}"
245,2,"{'tie': 1, 'person': 1}"
246,2,"{'person': 1, 'tie': 1}"
247,2,"{'tie': 1, 'person': 1}"
248,2,"{'tie': 1, 'person': 1}"
249,2,"{'tie': 1, 'person': 1}"
250,2,"{'tie': 1, 'person': 1}"
251,2,"{'tie': 1, 'person': 1}"
252,2,"{'tie': 1, 'person': 1}"
253,2,"{'tie': 1, 'person': 1}"
254,2,"{'tie': 1, 'person': 1}"
255,2,"{'tie': 1, 'person': 1}"
256,2,"{'tie': 1, 'person': 1}"
257,2,"{'tie': 1, 'person': 1}"
258,2,"{'tie': 1, 'person': 1}"
259,2,"{'tie': 1, 'person': 1}"
260,2,"{'tie': 1, 'person': 1}"
261,2,"{'tie': 1, 'person': 1}"
262,2,"{'tie': 1, 'person': 1}"
263,2,"{'tie': 1, 'person': 1}"
264,2,"{'tie': 1, 'person': 1}"
265,2,"{'tie': 1, 'person': 1}"
266,3,"{'tie': 1, 'person': 1, 'bed': 1}"
267,2,"{'tie': 1, 'person': 1}"
268,2,"{'tie': 1, 'person': 1}"
269,2,"{'tie': 1, 'person': 1}"
270,2,"{'person': 1, 'tie': 1}"
271,2,"{'tie': 1, 'person': 1}"
272,2,"{'tie': 1, 'person': 1}"
273,2,"{'person': 1, 'tie': 1}"
274,2,"{'tie': 1, 'person': 1}"
275,2,"{'tie': 1, 'person': 1}"
276,2,"{'tie': 1, 'person': 1}"
277,2,"{'tie': 1, 'person': 1}"
278,2,"{'tie': 1, 'person': 1}"
279,2,"{'tie': 1, 'person': 1}"
280,2,"{'tie': 1, 'person': 1}"
281,2,"{'tie': 1, 'person': 1}"
282,2,"{'tie': 1, 'person': 1}"
283,2,"{'tie': 1, 'person': 1}"
284,2,"{'tie': 1, 'person': 1}"
285,2,"{'tie': 1, 'person': 1}"
286,2,"{'tie': 1, 'person': 1}"
287,2,"{'tie': 1, 'person': 1}"
288,2,"{'tie': 1, 'person': 1}"
289,2,"{'tie': 1, 'person': 1}"
290,2,"{'tie': 1, 'person': 1}"
291,2,"{'tie': 1, 'person': 1}"
292,2,"{'tie': 1, 'person': 1}"
293,2,"{'tie': 1, 'person': 1}"
294,2,"{'tie': 1, 'person': 1}"
295,2,"{'tie': 1, 'person': 1}"
296,2,"{'tie': 1, 'person': 1}"
297,2,"{'tie': 1, 'person': 1}"
298,2,"{'tie': 1, 'person': 1}"
299,2,"{'tie': 1, 'person': 1}"
300,2,"{'tie': 1, 'person': 1}"
301,2,"{'tie': 1, 'person': 1}"
302,2,"{'person': 1, 'tie': 1}"
303,2,"{'tie': 1, 'person': 1}"
304,2,"{'tie': 1, 'person': 1}"
305,2,"{'tie': 1, 'person': 1}"
306,2,"{'tie': 1, 'person': 1}"
307,2,"{'tie': 1, 'person': 1}"
308,2,"{'tie': 1, 'person': 1}"
309,2,"{'person': 1, 'tie': 1}"
310,2,"{'tie': 1, 'person': 1}"
311,2,"{'tie': 1, 'person': 1}"
312,2,"{'tie': 1, 'person': 1}"
313,2,"{'tie': 1, 'person': 1}"
314,2,"{'tie': 1, 'person': 1}"
315,2,"{'tie': 1, 'person': 1}"
316,2,"{'tie': 1, 'person': 1}"
317,2,"{'tie': 1, 'person': 1}"
318,2,"{'tie': 1, 'person': 1}"
319,2,"{'tie': 1, 'person': 1}"
320,2,"{'tie': 1, 'person': 1}"
321,2,"{'tie': 1, 'person': 1}"
322,2,"{'tie': 1, 'person': 1}"
323,2,"{'tie': 1, 'person': 1}"
324,2,"{'tie': 1, 'person': 1}"
325,2,"{'tie': 1, 'person': 1}"
326,2,"{'tie': 1, 'person': 1}"
327,2,"{'tie': 1, 'person': 1}"
328,2,"{'tie': 1, 'person': 1}"
329,2,"{'tie': 1, 'person': 1}"
330,2,"{'tie': 1, 'person': 1}"
331,2,"{'tie': 1, 'person': 1}"
332,2,"{'tie': 1, 'person': 1}"
333,2,"{'tie': 1, 'person': 1}"
334,0,{}
335,2,"{'person': 1, 'tie': 1}"
336,2,"{'tie': 1, 'person': 1}"
337,2,"{'tie': 1, 'person': 1}"
338,2,"{'tie': 1, 'person': 1}"
339,2,"{'tie': 1, 'person': 1}"
340,2,"{'tie': 1, 'person': 1}"
341,2,"{'tie': 1, 'person': 1}"
342,2,"{'tie': 1, 'person': 1}"
343,2,"{'tie': 1, 'person': 1}"
344,2,"{'tie': 1, 'person': 1}"
345,2,"{'person': 1, 'tie': 1}"
346,2,"{'tie': 1, 'person': 1}"
347,2,"{'tie': 1, 'person': 1}"
348,2,"{'tie': 1, 'person': 1}"
349,2,"{'tie': 1, 'person': 1}"
350,2,"{'tie': 1, 'person': 1}"
